Date,Open,High,Low,Close,,,Volume,Adj Close
7/28/2015,17449.81055,17650.07031,17449.81055,17630.26953,180.458984,1,103450000,17630.26953
7/27/2015,17561.7793,17561.7793,17399.16992,17440.58984,-121.189453,0,117860000,17440.58984
7/24/2015,17731.05078,17756.53906,17553.73047,17568.5293,-162.521484,0,103470000,17568.5293
7/23/2015,17853.7793,17860.94922,17705.0293,17731.91992,-121.859375,0,88600000,17731.91992
7/22/2015,17918.34961,17919.34961,17807.41016,17851.03906,-67.310547,0,112370000,17851.03906
7/21/2015,18096.66992,18096.66992,17868.33984,17919.28906,-177.38086,0,100170000,17919.28906
7/20/2015,18085.91016,18137.11914,18064.5,18100.41016,14.5,1,75060000,18100.41016
7/17/2015,18117.58008,18121.11914,18032.06055,18086.44922,-31.130859,0,106510000,18086.44922
7/16/2015,18078.16016,18131.60938,18065.33008,18120.25,42.089844,1,85030000,18120.25
7/15/2015,18053.38086,18090.39063,18010.15039,18050.16992,-3.210937,0,80460000,18050.16992
7/14/2015,17974.60938,18072.82031,17956.16992,18053.58008,78.970703,1,76740000,18053.58008
7/13/2015,17787.26953,17987.57031,17787.26953,17977.67969,190.410157,1,86380000,17977.67969
7/10/2015,17561.11914,17797.49023,17561.11914,17760.41016,199.291015,1,85800000,17760.41016
7/9/2015,17530.38086,17764.84961,17530.38086,17548.61914,18.238282,1,100520000,17548.61914
7/8/2015,17759.00977,17759.00977,17496.2207,17515.41992,-243.589844,0,69830000,17515.41992
7/7/2015,17684.91992,17793.44922,17465.67969,17776.91016,91.990234,1,105840000,17776.91016
7/6/2015,17728.08008,17734.35938,17564.35938,17683.58008,-44.5,0,90130000,17683.58008
7/2/2015,17763.32031,17825.49023,17687.51953,17730.10938,-33.210937,0,83080000,17730.10938
7/1/2015,17638.11914,17801.83008,17638.11914,17757.91016,119.791015,1,87010000,17757.91016
6/30/2015,17599.96094,17714.66016,17576.5,17619.50977,19.548828,1,126460000,17619.50977
6/29/2015,17936.74023,17936.74023,17590.55078,17596.34961,-340.390625,0,116340000,17596.34961
6/26/2015,17892.0293,18013.15039,17892.0293,17946.67969,54.650391,1,158120000,17946.67969
6/25/2015,17977.10938,18036.09961,17890.35938,17890.35938,-86.75,0,78990000,17890.35938
6/24/2015,18139.09961,18139.09961,17966.07031,17966.07031,-173.029297,0,104980000,17966.07031
6/23/2015,18121.7793,18188.81055,18108.09961,18144.07031,22.291015,1,75970000,18144.07031
6/22/2015,18027.63086,18181.66992,18027.63086,18119.7793,92.148438,1,77780000,18119.7793
6/19/2015,18116.24023,18117.71094,18010.58008,18015.94922,-100.291015,0,258300000,18015.94922
6/18/2015,17944.60938,18174.73047,17944.60938,18115.83984,171.230469,1,94460000,18115.83984
6/17/2015,17909.58008,17998,17839.65039,17935.74023,26.160156,1,92410000,17935.74023
6/16/2015,17787.42969,17919.61914,17774.11914,17904.48047,117.050781,1,77510000,17904.48047
6/15/2015,17890.75977,17890.75977,17698.41992,17791.16992,-99.589844,0,91920000,17791.16992
6/12/2015,18035.83008,18035.83008,17857.07031,17898.83984,-136.990234,0,83760000,17898.83984
6/11/2015,18001.26953,18109.76953,18001.26953,18039.36914,38.09961,1,89490000,18039.36914
6/10/2015,17765.38086,18045.14063,17765.38086,18000.40039,235.019532,1,96980000,18000.40039
6/9/2015,17766.94922,17817.83008,17714.9707,17764.03906,-2.910157,0,90550000,17764.03906
6/8/2015,17849.46094,17852.34961,17760.60938,17766.55078,-82.910157,0,86300000,17766.55078
6/5/2015,17905.38086,17940.7793,17822.90039,17849.46094,-55.919921,0,89140000,17849.46094
6/4/2015,18072.4707,18087.15039,17876.94922,17905.58008,-166.890625,0,93470000,17905.58008
6/3/2015,18018.41992,18168.08984,18010.41992,18076.26953,57.849609,1,73120000,18076.26953
6/2/2015,18033.33008,18091.86914,17925.33008,18011.93945,-21.390625,0,77550000,18011.93945
6/1/2015,18017.82031,18105.83008,17982.06055,18040.36914,22.548829,1,85640000,18040.36914
5/29/2015,18128.11914,18128.11914,17967.74023,18010.67969,-117.439453,0,139810000,18010.67969
5/28/2015,18154.14063,18154.14063,18066.40039,18126.11914,-28.021484,0,67510000,18126.11914
5/27/2015,18045.08008,18190.34961,18045.08008,18162.99023,117.910156,1,96400000,18162.99023
5/26/2015,18229.75,18229.75,17990.01953,18041.53906,-188.210938,0,109440000,18041.53906
5/22/2015,18286.86914,18286.86914,18217.14063,18232.01953,-54.84961,0,78890000,18232.01953
5/21/2015,18285.86914,18314.89063,18249.90039,18285.74023,-0.128907,0,84270000,18285.74023
5/20/2015,18315.06055,18350.13086,18272.56055,18285.40039,-29.660156,0,80190000,18285.40039
5/19/2015,18300.48047,18351.35938,18261.34961,18312.39063,11.910156,1,87200000,18312.39063
5/18/2015,18267.25,18325.53906,18244.25977,18298.88086,31.630859,1,79080000,18298.88086
5/15/2015,18251.9707,18272.7207,18215.07031,18272.56055,20.589844,1,108220000,18272.56055
